id,name,type,region,minx,miny,maxx,maxy,acres,state,lon,lat,DungenessCrab,BayShrimp,GreenSturgeon,LeopardShark,BatRay,CaliforniaHalibut,EnglishSole,StarryFlounder,ShinerPerch,StaghornSculpin,PacificHerring,BrownRockfish,Steelhead,CohoSalmon,ChinookSalmon,SoKJoin,NFHPJoin,Rating_2015,biotic_acres
1000,Point Roberts,Embayment/Bay,Salish Sea,-123.08,48.97,-123.05,48.98,211,WA,-123.067,48.978,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:114.5|2.7:25.65|2.8:0.22
1001,Drayton Harbor,Embayment/Bay,Salish Sea,-122.79,48.94,-122.69,49.0,2397,WA,-122.755,48.973,JP,,,P,,,,,,,P,,P,P,P,2,1,2,2.5:1459.33|2.6:21.36|2.6.1:16.32|2.6.1.1:19.64|2.7:9.07|2.8:23.37
1002,Birch Bay,Embayment/Bay,Salish Sea,-122.79,48.89,-122.73,48.94,1674,WA,-122.751,48.927,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:961.07|2.6:30.86|2.7:81.45|2.8:40.71
1003,Nooksack River,Major River Delta,Salish Sea,-122.72,48.71,-122.53,48.91,15867,WA,-122.581,48.768,JP,,,P,,,,,,,P,,P,P,P,2,2,1,2.5:6336.34|2.6:3809.74|2.6.1:4.97|2.6.1.1:393.33|2.7:353.02|2.7.1:31.62|2.7.1.1:60.58|2.8:787.68|2.8.1:68.44
1004,Padden Creek,Embayment/Bay,Salish Sea,-122.51,48.72,-122.51,48.72,8,WA,-122.508,48.721,JP,,,P,,,,,,,P,,P,P,P,2,3,1,2.7:0.02|2.8:0.05
1005,Chuckanut Bay,Embayment/Bay,Salish Sea,-122.51,48.69,-122.49,48.7,112,WA,-122.501,48.7,JP,,,P,,,,,,,P,,P,P,P,2,3,1,2.5:18.73|2.6:0.23|2.6.1.1:2.77|2.7:3.18|2.8:2.51
1006,Nelson Bay,Embayment/Bay,Salish Sea,-123.19,48.59,-123.17,48.61,159,WA,-123.183,48.601,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:1.02|2.5.1:4.49|2.6:0.01|2.6.1.1:26.29|2.8:0.29
1007,Westcott Bay,Embayment/Bay,Salish Sea,-123.15,48.6,-123.14,48.61,196,WA,-123.143,48.603,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:0.79|2.6:0.77|2.6.1.1:5.55|2.7:1.15|2.8:1.29
1008,Rocky Bay,Embayment/Bay,Salish Sea,-123.11,48.6,-123.1,48.6,11,WA,-123.103,48.6,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.7:0.39|2.8:0.71
1009,Garrison Bay,Embayment/Bay,Salish Sea,-123.16,48.58,-123.15,48.59,163,WA,-123.156,48.585,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:0.56|2.6.1.1:1.81|2.7:0.13|2.8:2.41
1010,Blind Bay,Embayment/Bay,Salish Sea,-122.95,48.57,-122.93,48.58,129,WA,-122.941,48.578,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:0.9|2.7:0.23|2.8:0.67
1011,Squaw Bay,Embayment/Bay,Salish Sea,-122.95,48.56,-122.94,48.56,57,WA,-122.947,48.56,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:7.8|2.6:2.79|2.7:0.26|2.8:0.39
1012,Argyle Lagoon,Lagoonal Estuary,Salish Sea,-123.01,48.52,-123.01,48.52,15,WA,-123.012,48.521,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:0.46|2.8:0.09
1013,Fisherman Bay,Embayment/Bay,Salish Sea,-122.94,48.5,-122.91,48.53,530,WA,-122.918,48.511,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:155.61|2.6:12.04|2.6.1.1:33|2.7:1.5|2.8:1.47
1014,False Bay,Embayment/Bay,Salish Sea,-123.08,48.48,-123.06,48.49,261,WA,-123.069,48.486,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:3.33|2.5.1:0.07|2.6:5.11|2.7:2.36|2.8:1.77
1015,Davis Bay,Embayment/Bay,Salish Sea,-122.92,48.45,-122.9,48.46,113,WA,-122.915,48.454,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:85.35|2.7:5.42|2.8:1.25
1016,Barlow Bay,Embayment/Bay,Salish Sea,-122.88,48.43,-122.86,48.44,155,WA,-122.863,48.437,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:9.92|2.6:20.61|2.6.1.1:2.55|2.7:7.78|2.8:1.66
1017,Samish Bay,Major River Delta,Salish Sea,-122.53,48.48,-122.39,48.64,16520,WA,-122.457,48.582,JP,,,P,,,,,P,,P,,P,P,P,2,2,1,2.5:3995.84|2.6:7420.38|2.6.1:2.88|2.6.1.1:91.98|2.7:60.22|2.7.1:42.52|2.8:62.44
1018,Padilla Bay,Embayment/Bay,Salish Sea,-122.57,48.42,-122.4,48.58,21137,WA,-122.504,48.484,JP,,,P,,,P,,P,,P,,P,P,P,2,2,1,2.5:12255.4|2.6:5481.64|2.6.1:6.1|2.6.1.1:221.51|2.7:143.18|2.8:290.35
1019,Fidalgo Bay,Embayment/Bay,Salish Sea,-122.61,48.46,-122.56,48.52,2249,WA,-122.586,48.492,JP,,,P,,,P,,P,,P,,P,P,P,2,2,1,2.5:584.46|2.6:10.01|2.6.1.1:27.03|2.7:3.46|2.8:3.77
1020,Ship Harbor Lagoon,Lagoonal Estuary,Salish Sea,-122.68,48.5,-122.67,48.51,13,WA,-122.677,48.502,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:4.4|2.6:2.02|2.6.1:0.34|2.7:0.83|2.8:4.18
1021,Flounder Bay,Embayment/Bay,Salish Sea,-122.68,48.49,-122.68,48.5,49,WA,-122.681,48.493,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:0.12|2.8:0.08
1022,Simik Bay,Embayment/Bay,Salish Sea,-122.58,48.43,-122.54,48.46,835,WA,-122.566,48.443,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:56.72|2.6:9.45|2.6.1.1:52.06|2.7:3.35|2.8:5.93
1023,Bowman Bay,Embayment/Bay,Salish Sea,-122.66,48.41,-122.65,48.42,96,WA,-122.653,48.415,JP,,,P,,,,,,,P,,P,P,P,2,3,2,2.6:1.03|2.6.1.1:1.66|2.7:1.63|2.8:1.29
1024,Dugualla Bay,Embayment/Bay,Salish Sea,-122.65,48.35,-122.56,48.38,1615,WA,-122.612,48.352,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:185.07|2.6:491.77|2.6.1.1:23.57|2.7:17.58|2.8:23.46
